Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Loreto,0,1/4/2019,0,0,0,0
Madre de Dios,0,1/4/2019,0,0,0,0
Moquegua,2,1/4/2019,7,384.77,54967.142857142855,0.05000000000000001
Pasco,0,1/4/2019,0,0,0,0
Piura,0,1/4/2019,0,0,0,0
Puno,0,1/4/2019,0,0,0,0
San Martín,0,1/4/2019,0,0,0,0
Tacna,231,1/4/2019,137,6700,48905.109489051094,0.28812686567164175
Tumbes,0,1/4/2019,0,0,0,0
Ucayali,0,1/4/2019,0,0,0,0
Nacional,2908.5,1/5/2022,3295.5,160364.462,48661.6483082992,0.21582181487317315
Amazonas,0,1/5/2022,0,0,0,0
Áncash,129,1/5/2022,61,1270,20819.67213114754,0.6251496062992127
Apurímac,0,1/5/2022,0,0,0,0
Arequipa,1110,1/5/2022,1298,71787.312,55306.09553158706,0.2130762986361713
Ayacucho,0,1/5/2022,0,0,0,0
Cajamarca,0,1/5/2022,45,328,7288.888888888889,1.0926829268292682
Callao,0,1/5/2022,0,0,0,0
Cusco,0,1/5/2022,0,0,0,0
Huancavelica,0,1/5/2022,0,0,0,0
Huánuco,23,1/5/2022,49,1061,21653.061224489797,0.203430725730443
Ica,0,1/5/2022,0,0,0,0
Junín,0,1/5/2022,0,0,0,0
La Libertad,327.5,1/5/2022,312.5,16089.5,51486.4,0.17257528201622174
Lambayeque,184,1/5/2022,199,6606,33195.979899497484,0.29294277929155316
Lima,871,1/5/2022,959,48833.6,50921.37643378519,0.1616882638183546
Lima Metropolitana,80,1/5/2022,131,3924.05,29954.580152671755,0.13031549037346618
Loreto,0,1/5/2022,0,0,0,0
Moquegua,9,1/5/2022,12,816,68000,0.05916666666666666
Pasco,0,1/5/2022,0,0,0,0
Piura,0,1/5/2022,0,0,0,0
Puno,0,1/5/2022,0,0,0,0
San Martín,0,1/5/2022,0,0,0,0
Tacna,175,1/5/2022,229,9649,42135.371179039306,0.49523266659757487
Tumbes,0,1/5/2022,0,0,0,0
Ucayali,0,1/5/2022,0,0,0,0
Nacional,3280.5,1/5/2021,3546.5,179975.062,50747.23304666573,0.16766741705581414
Amazonas,0,1/5/2021,0,0,0,0
Áncash,45,1/5/2021,39,831,21307.692307692305,0.5399518652226233
Apurímac,0,1/5/2021,0,0,0,0
