Región,meses,cosecha,year,produccion,rendimiento
Huancavelica,Nov,0.0,2021,,
Huánuco,Nov,1.9904548931150257,2021,,
Ica,Nov,0.0,2021,,
Junín,Nov,1.4475146209639853,2021,,
La Libertad,Nov,3.8153561435895536,2021,,
Lambayeque,Nov,0.0,2021,,
Lima,Nov,4.31584062196307,2021,,
Lima Metropolitana,Nov,2.022666666666667,2021,,
Loreto,Nov,0.4685201793721973,2021,,
higore de Dios,Nov,4.445425361155698,2021,,
Moquegua,Nov,8.69200652528548,2021,,
Pasco,Nov,2.809233449477352,2021,,
Piura,Nov,3.81,2021,,
Puno,Nov,2.423232323232323,2021,,
San Martín,Nov,0.8614332247557003,2021,,
Tacna,Nov,0.0,2021,,
Tumbes,Nov,0.0,2021,,
Ucayali,Nov,1.0104264170566823,2021,,
Amazonas,Dic,1.4008316933945117,2021,,
Áncash,Dic,4.691532892666038,2021,,
Apurímac,Dic,0.0,2021,,
Arequipa,Dic,4.9966722129783685,2021,,
Ayacucho,Dic,5.617904411764706,2021,,
Cajamarca,Dic,2.144593432689158,2021,,
Callao,Dic,0.0,2021,,
Cusco,Dic,1.2908387096774194,2021,,
Huancavelica,Dic,0.0,2021,,
Huánuco,Dic,2.208996832101372,2021,,
Ica,Dic,0.0,2021,,
Junín,Dic,1.4183151436792534,2021,,
La Libertad,Dic,4.141346389228887,2021,,
Lambayeque,Dic,2.4243478260869566,2021,,
Lima,Dic,5.173516309814628,2021,,
Lima Metropolitana,Dic,3.5,2021,,
Loreto,Dic,0.46783625730994155,2021,,
higore de Dios,Dic,5.175416666666666,2021,,
Moquegua,Dic,8.69872234935164,2021,,
Pasco,Dic,2.8308056872037914,2021,,
Piura,Dic,1.7325,2021,,
Puno,Dic,2.4105263157894736,2021,,
San Martín,Dic,1.069622641509434,2021,,
Tacna,Dic,0.0,2021,,
Tumbes,Dic,0.0,2021,,
Ucayali,Dic,1.1923543214704733,2021,,
Amazonas,Ene,1.531240793201133,2020,,
Áncash,Ene,3.074300286105238,2020,,
Apurímac,Ene,2.8673497267759562,2020,,
Arequipa,Ene,4.195670995670995,2020,,
Ayacucho,Ene,4.234227861771057,2020,,
Cajamarca,Ene,2.472503585458626,2020,,
Callao,Ene,0.0,2020,,
Cusco,Ene,2.8535520473606315,2020,,
Huancavelica,Ene,3.216745074977948,2020,,
Huánuco,Ene,1.6211011235955055,2020,,
Ica,Ene,5.999999999999999,2020,,
Junín,Ene,0.7873000456073375,2020,,
