Región,meses,cosecha,year,produccion,rendimiento
Piura,Mar,1.5,2021,,
Puno,Mar,0.0,2021,,
San Martín,Mar,6.612598039215687,2021,,
Tacna,Mar,0.0,2021,,
Tumbes,Mar,0.0,2021,,
Ucayali,Mar,6.9522522522522525,2021,,
Amazonas,Abr,7.845325631554157,2021,,
Áncash,Abr,0.0,2021,,
Apurímac,Abr,0.0,2021,,
Arequipa,Abr,0.0,2021,,
Ayacucho,Abr,6.053846153846153,2021,,
Cajamarca,Abr,7.469290612156955,2021,,
Callao,Abr,0.0,2021,,
Cusco,Abr,8.376307741831642,2021,,
Huancavelica,Abr,0.0,2021,,
Huánuco,Abr,6.791654733492443,2021,,
Ica,Abr,0.0,2021,,
Junín,Abr,7.442500674600148,2021,,
La Libertad,Abr,4.266498174670037,2021,,
Lambayeque,Abr,0.0,2021,,
Lima,Abr,0.0,2021,,
Lima Metropolitana,Abr,0.0,2021,,
Loreto,Abr,0.0,2021,,
cafere de Dios,Abr,4.004577464788732,2021,,
Moquegua,Abr,0.0,2021,,
Pasco,Abr,5.951097238589674,2021,,
Piura,Abr,0.0,2021,,
Puno,Abr,7.6421052631578945,2021,,
San Martín,Abr,6.078162035708767,2021,,
Tacna,Abr,0.0,2021,,
Tumbes,Abr,0.0,2021,,
Ucayali,Abr,7.170789009167738,2021,,
Amazonas,May,8.449934620847953,2021,,
Áncash,May,0.0,2021,,
Apurímac,May,0.0,2021,,
Arequipa,May,0.0,2021,,
Ayacucho,May,6.2919937205651495,2021,,
Cajamarca,May,8.684419036540234,2021,,
Callao,May,0.0,2021,,
Cusco,May,10.071474110619599,2021,,
Huancavelica,May,0.0,2021,,
Huánuco,May,7.706530612244897,2021,,
Ica,May,0.0,2021,,
Junín,May,8.350735759227225,2021,,
La Libertad,May,4.202407002188183,2021,,
Lambayeque,May,0.0,2021,,
Lima,May,0.0,2021,,
Lima Metropolitana,May,0.0,2021,,
Loreto,May,0.0,2021,,
cafere de Dios,May,4.268025078369907,2021,,
Moquegua,May,0.0,2021,,
Pasco,May,7.301399137004121,2021,,
Piura,May,0.0,2021,,
Puno,May,7.485577942735949,2021,,
San Martín,May,8.060513457333371,2021,,
Tacna,May,0.0,2021,,
Tumbes,May,0.0,2021,,
Ucayali,May,7.210010692314624,2021,,
Amazonas,Jun,8.89986819652839,2021,,
Áncash,Jun,0.0,2021,,
Apurímac,Jun,0.0,2021,,
Arequipa,Jun,0.0,2021,,
Ayacucho,Jun,7.639705882352941,2021,,
Cajamarca,Jun,10.24070086969054,2021,,
Callao,Jun,0.0,2021,,
Cusco,Jun,9.923531924682068,2021,,
Huancavelica,Jun,0.0,2021,,
Huánuco,Jun,8.661819383259912,2021,,
Ica,Jun,0.0,2021,,
Junín,Jun,9.40010717110696,2021,,
La Libertad,Jun,4.499999999999999,2021,,
Lambayeque,Jun,8.0,2021,,
Lima,Jun,0.0,2021,,
Lima Metropolitana,Jun,0.0,2021,,
Loreto,Jun,0.0,2021,,
cafere de Dios,Jun,5.0,2021,,
Moquegua,Jun,0.0,2021,,
Pasco,Jun,9.024492728524207,2021,,
Piura,Jun,6.636499312242091,2021,,
Puno,Jun,7.145226711077684,2021,,
San Martín,Jun,8.118450799518143,2021,,
Tacna,Jun,0.0,2021,,
Tumbes,Jun,0.0,2021,,
Ucayali,Jun,10.9749149948127,2021,,
