Región,meses,cosecha,produccion,rendimiento,precio,year
Amazonas,Ene,275.5,5042.76,18304.029038112523,1.1000741657346378,2020
Áncash,Ene,474.0,5348.25,11283.227848101265,0.9275206843359977,2020
Apurímac,Ene,907.3,20429.85,22517.1938719277,0.6769332618692747,2020
Arequipa,Ene,449.0,18339.07,40844.25389755011,0.8122205760706515,2020
Ayacucho,Ene,1019.0,18382.0,18039.254170755645,0.8247851158742249,2020
Cajamarca,Ene,3438.8999999999996,36681.100000000006,10666.521271336767,0.8688818492357094,2020
Callao,Ene,0.0,0.0,0.0,0.0,2020
Cusco,Ene,634.0,10145.0,16001.577287066248,1.011946771808773,2020
Huancavelica,Ene,672.0,8433.699999999999,12550.148809523807,0.8521876519202723,2020
Huánuco,Ene,3089.75,56663.0,18339.024192895868,0.6930446675961384,2020
Ica,Ene,0.0,0.0,0.0,0.0,2020
Junín,Ene,1377.85,24257.899999999998,17605.617447472512,0.624394444696367,2020
La Libertad,Ene,683.0,15851.0,23207.906295754026,0.8136103084978865,2020
Lambayeque,Ene,200.0,1500.0,7500.0,0.98,2020
Lima,Ene,783.0,26088.0,33318.00766283525,0.60639374425023,2020
Lima Metropolitana,Ene,3.0,84.28999999999999,28096.666666666664,0.5332803416775419,2020
Loreto,Ene,0.0,0.0,0.0,0.0,2020
papare de Dios,Ene,0.0,0.0,0.0,0.0,2020
Moquegua,Ene,32.0,545.458,17045.5625,0.9348106545325213,2020
Pasco,Ene,480.0,10129.2,21102.500000000004,0.4482303637009833,2020
Piura,Ene,275.0,3433.0,12483.636363636364,0.802912904165453,2020
Puno,Ene,0.0,0.0,0.0,0.0,2020
San Martín,Ene,0.0,0.0,0.0,0.0,2020
Tacna,Ene,18.0,403.0,22388.88888888889,1.5501240694789082,2020
Tumbes,Ene,0.0,0.0,0.0,0.0,2020
Ucayali,Ene,0.0,0.0,0.0,0.0,2020
Amazonas,Feb,190.5,3263.7099999999996,17132.335958005246,1.2025363773129354,2020
Áncash,Feb,955.0,11107.0,11630.366492146597,0.9438966417574501,2020
Apurímac,Feb,542.0,11506.0,21228.782287822876,0.6760942117156266,2020
Arequipa,Feb,490.0,16829.605000000003,34346.132653061235,0.8147395022045967,2020
Ayacucho,Feb,1976.0,36620.0,18532.388663967613,0.5738339705079191,2020
Cajamarca,Feb,3682.0,43146.62,11718.25638240087,0.8028993232841879,2020
Callao,Feb,0.0,0.0,0.0,0.0,2020
Cusco,Feb,1455.0,22017.0,15131.958762886597,1.0270518235908614,2020
Huancavelica,Feb,1639.0,21076.8,12859.548505186089,0.4915388009565019,2020
Huánuco,Feb,3385.25,55364.0,16354.47898973488,0.5712995267682974,2020
Ica,Feb,0.0,0.0,0.0,0.0,2020
Junín,Feb,1572.0,27700.6,17621.24681933842,0.5681591373472052,2020
La Libertad,Feb,1821.5,36557.6,20070.05215481746,0.7510357627415366,2020
Lambayeque,Feb,50.0,365.0,7300.0,0.9075342465753424,2020
Lima,Feb,253.0,5124.4,20254.545454545452,0.5501853875575677,2020
Lima Metropolitana,Feb,3.0,84.9,28300.0,0.5,2020
Loreto,Feb,0.0,0.0,0.0,0.0,2020
papare de Dios,Feb,0.0,0.0,0.0,0.0,2020
Moquegua,Feb,78.0,977.3299999999999,12529.871794871793,0.9993006456365814,2020
Pasco,Feb,841.0,17376.4,20661.593341260406,0.37353134135954513,2020
Piura,Feb,167.0,1613.0,9658.68263473054,1.2,2020
Puno,Feb,566.0,8665.0,15309.187279151944,1.7781188690132719,2020
San Martín,Feb,0.0,0.0,0.0,0.0,2020
Tacna,Feb,85.0,1710.0,20117.647058823528,1.8714035087719298,2020
Tumbes,Feb,0.0,0.0,0.0,0.0,2020
Ucayali,Feb,0.0,0.0,0.0,0.0,2020
Amazonas,Mar,367.0,6776.200000000001,18463.760217983654,1.3578310852690294,2020
Áncash,Mar,1700.0,19977.300000000003,11751.352941176472,0.8918387369664568,2020
Apurímac,Mar,420.5,8224.0,19557.669441141497,0.7151507782101166,2020
Arequipa,Mar,460.0,14750.360000000002,32066.000000000004,0.6359463124967796,2020
Ayacucho,Mar,5720.0,108070.0,18893.356643356645,0.6128601832145829,2020
Cajamarca,Mar,3401.0,50442.59100000001,14831.693913554838,0.7728443077002128,2020
Callao,Mar,0.0,0.0,0.0,0.0,2020
Cusco,Mar,2076.0,31321.5,15087.42774566474,1.1371845218140895,2020
Huancavelica,Mar,2854.0,35793.5,12541.520672740013,0.5694247558914329,2020
Huánuco,Mar,4478.0,58178.0,12991.960696739616,0.722417924301282,2020
Ica,Mar,17.0,169.20000000000002,9952.94117647059,1.2000000000000002,2020
Junín,Mar,3057.0,50819.99999999999,16624.141315014716,0.5037824872097597,2020
La Libertad,Mar,3380.0,69129.90000000001,20452.633136094675,0.8845550622812991,2020
Lambayeque,Mar,5.0,35.0,7000.0,0.7,2020
Lima,Mar,165.5,1465.489,8854.91842900302,1.0221203980377882,2020
Lima Metropolitana,Mar,1.0,28.2,28200.0,0.5,2020
Loreto,Mar,0.0,0.0,0.0,0.0,2020
papare de Dios,Mar,0.0,0.0,0.0,0.0,2020
Moquegua,Mar,211.0,2566.5,12163.507109004739,1.1338000389635694,2020
Pasco,Mar,990.0,19777.870000000003,19977.64646464647,0.3137155416634855,2020
Piura,Mar,111.0,2138.0,19261.26126126126,0.7018709073900842,2020
Puno,Mar,5243.0,75199.0,14342.742704558459,1.7658918336680007,2020
San Martín,Mar,0.0,0.0,0.0,0.0,2020
Tacna,Mar,106.0,2193.0,20688.67924528302,1.7119471044231647,2020
Tumbes,Mar,0.0,0.0,0.0,0.0,2020
Ucayali,Mar,0.0,0.0,0.0,0.0,2020
Amazonas,Abr,470.5,9069.809,19276.95855472901,1.1432212188812356,2020
Áncash,Abr,2180.0,25909.0,11884.862385321101,0.8973252537728202,2020
Apurímac,Abr,2899.0,57955.17,19991.434977578476,0.6550515855617368,2020
Arequipa,Abr,432.0,14128.096000000001,32703.92592592593,0.38930366130014976,2020
Ayacucho,Abr,5409.0,85100.0,15733.037530042522,0.7789552291421856,2020
Cajamarca,Abr,3788.0,55324.88999999999,14605.30359028511,0.8293221474096016,2020
Callao,Abr,0.0,0.0,0.0,0.0,2020
Cusco,Abr,5894.0,87319.0,14814.896504920258,1.051087621250816,2020
Huancavelica,Abr,5617.0,71932.49999999999,12806.21328111091,0.5932226045250756,2020
Huánuco,Abr,7353.75,87141.0,11849.872514023458,0.7056249067603083,2020
Ica,Abr,24.0,230.26,9594.166666666666,0.874190046034917,2020
Junín,Abr,3799.7,60768.55899999999,15992.988656999234,0.4892779603347185,2020
La Libertad,Abr,4059.0,82895.5,20422.641044592263,0.8229278670132876,2020
Lambayeque,Abr,0.0,0.0,0.0,0.0,2020
Lima,Abr,246.75,2048.3,8301.114488348532,0.9268124786408242,2020
Lima Metropolitana,Abr,0.0,0.0,0.0,0.0,2020
Loreto,Abr,0.0,0.0,0.0,0.0,2020
papare de Dios,Abr,0.0,0.0,0.0,0.0,2020
Moquegua,Abr,139.0,1481.199,10656.107913669064,1.2095121924873025,2020
Pasco,Abr,1110.5,21096.267,18997.088698784333,0.3680196264106821,2020
Piura,Abr,98.0,978.0,9979.591836734693,0.6918200408997954,2020
Puno,Abr,37476.0,513809.0,13710.34795602519,1.5469240126194754,2020
San Martín,Abr,0.0,0.0,0.0,0.0,2020
Tacna,Abr,61.0,1086.0,17803.278688524588,1.6728360957642725,2020
Tumbes,Abr,0.0,0.0,0.0,0.0,2020
Ucayali,Abr,0.0,0.0,0.0,0.0,2020
Amazonas,May,460.0,8882.2,19309.130434782608,1.2367864943369886,2020
Áncash,May,1873.0,21925.8,11706.246663107313,1.0307035547163614,2020
Apurímac,May,5584.0,102344.0,18328.08022922636,0.8412264031110763,2020
Arequipa,May,533.0,18049.78,33864.502814258914,0.3648876052782915,2020
Ayacucho,May,8245.0,130183.0,15789.326864766526,0.7702448860450289,2020
Cajamarca,May,3422.5,49688.492,14518.18612125639,0.8223978501903418,2020
Callao,May,0.0,0.0,0.0,0.0,2020
Cusco,May,15238.0,216505.0,14208.229426433914,1.1985254382115889,2020
Huancavelica,May,7298.0,93164.20000000001,12765.716634694438,0.6308611032993359,2020
Huánuco,May,5465.0,73101.0,13376.212259835314,0.6444862860973174,2020
Ica,May,16.0,156.39999999999998,9774.999999999998,1.0,2020
Junín,May,6461.0,101248.6,15670.732084816593,0.39515993307561803,2020
La Libertad,May,4416.0,93328.90000000001,21134.261775362324,0.8167170512027896,2020
Lambayeque,May,10.0,60.0,6000.0,0.9,2020
Lima,May,251.0,2247.0,8952.191235059761,1.030378282153983,2020
Lima Metropolitana,May,0.0,0.0,0.0,0.0,2020
Loreto,May,0.0,0.0,0.0,0.0,2020
papare de Dios,May,0.0,0.0,0.0,0.0,2020
Moquegua,May,51.0,496.82,9741.56862745098,0.8675234491365081,2020
Pasco,May,2422.0,39553.4,16330.883567299754,0.5217890927202212,2020
Piura,May,146.0,1826.0,12506.849315068494,0.774644030668127,2020
Puno,May,16606.0,229030.0,13792.002890521499,1.3345448631183687,2020
